executable,n,threads,real_time_seconds,cpu_time_seconds
orig_openmp,5000,25,5.798136,107.434249
orig_openmp,5000,26,5.270292,107.650649
orig_openmp,5000,27,5.866544,113.226396
orig_openmp,5000,28,5.908173,114.287023
orig_openmp,5000,29,5.456110,115.321472
orig_openmp,5000,30,5.852350,117.887884
orig_openmp,5000,31,5.932156,123.431928
orig_openmp,5000,32,6.177331,130.254429
orig_openmp,5000,33,6.212304,132.519547
orig_openmp,5000,34,6.141838,132.277677
orig_openmp,5000,35,6.444751,140.555586
orig_openmp,5000,36,6.611063,140.005166
orig_openmp,5000,37,6.573295,141.073725
orig_openmp,5000,38,7.402991,168.436387
orig_openmp,5000,39,7.500657,169.491287
orig_openmp,5000,40,7.776211,174.606995
orig_openmp,5000,1,46.604756,46.596624
orig_openmp,5000,2,27.878522,55.738218
orig_openmp,5000,3,16.774700,50.308663
orig_openmp,5000,4,13.111488,52.424428
orig_openmp,5000,5,11.836850,59.155195
orig_openmp,5000,6,10.802955,64.784724
orig_openmp,5000,7,9.927837,69.455139
orig_openmp,5000,8,9.222517,73.723518
orig_openmp,5000,9,8.415017,75.687324
orig_openmp,5000,10,7.555060,75.504629
orig_openmp,5000,11,9.686126,84.301214
orig_openmp,5000,12,8.962561,86.059385
orig_openmp,5000,13,8.232691,85.738746
orig_openmp,5000,14,7.910406,91.654044
orig_openmp,5000,15,7.583093,94.287590
orig_openmp,5000,16,7.493134,98.072122
orig_openmp,5000,17,6.974513,100.398987
orig_openmp,5000,18,6.541901,98.676162
orig_openmp,5000,19,6.616111,99.624994
orig_openmp,5000,20,6.215485,99.926579
orig_openmp,5000,21,5.811854,99.207575
orig_openmp,5000,22,5.886606,101.105012
orig_openmp,5000,23,5.465713,103.580302
orig_openmp,5000,24,5.296091,106.326237
orig_openmp,5000,25,5.617120,106.898646
orig_openmp,5000,26,5.491723,110.623171
orig_openmp,5000,27,5.424219,111.350813
orig_openmp,5000,28,5.784483,113.879386
orig_openmp,5000,29,5.435368,117.708309
orig_openmp,5000,30,6.012795,121.481575
