executable,returncode,n,threads,real_time_seconds,cpu_time_seconds
blas_like_openmp,0,15000,2,63.114333,122.838579
blas_like_openmp,0,15000,3,41.653789,122.495704
blas_like_openmp,0,15000,4,34.148314,121.803484
blas_like_openmp,0,15000,5,25.307425,121.886740
blas_like_openmp,0,15000,6,21.358112,123.147433
blas_like_openmp,0,15000,7,20.567412,123.426397
blas_like_openmp,0,15000,8,17.824072,125.591967
blas_like_openmp,0,15000,9,18.632862,131.772164
blas_like_openmp,0,15000,10,19.362755,145.472689
blas_like_openmp,0,15000,11,18.910915,151.018428
blas_like_openmp,0,15000,12,18.928644,153.455421
blas_like_openmp,0,15000,13,19.604643,162.743848
blas_like_openmp,0,15000,14,20.381861,176.756262
blas_like_openmp,0,15000,15,16.605956,187.621488
blas_like_openmp,0,15000,16,16.280748,186.793248
blas_like_openmp,0,15000,17,16.966770,203.235275
blas_like_openmp,0,15000,18,17.163591,207.171650
blas_like_openmp,0,15000,19,17.330729,218.070471
blas_like_openmp,0,15000,20,18.175727,247.902225
blas_like_openmp,0,15000,21,17.492742,253.666622
blas_like_openmp,0,15000,22,17.448171,261.410308
blas_like_openmp,0,15000,23,17.736510,298.706216
blas_like_openmp,0,15000,24,19.172673,317.902493
blas_like_openmp,0,15000,25,18.836690,343.547201
blas_like_openmp,0,15000,26,19.826756,354.166239
blas_like_openmp,0,15000,27,19.404542,373.036069
blas_like_openmp,0,15000,28,20.522439,381.488515
blas_like_openmp,0,15000,29,20.035924,393.536734
blas_like_openmp,0,15000,30,18.285266,386.899271
blas_like_openmp,0,15000,31,18.096082,380.848472
blas_like_openmp,0,15000,32,18.355529,388.897993
blas_like_openmp,0,15000,33,17.404741,381.938668
blas_like_openmp,0,15000,34,18.328990,401.546694
blas_like_openmp,0,15000,35,18.180421,395.124273
blas_like_openmp,0,15000,36,17.847678,385.744030
blas_like_openmp,0,15000,37,18.257700,394.054475
blas_like_openmp,0,15000,38,18.271854,384.354530
blas_like_openmp,0,15000,39,18.477914,397.518225
blas_like_openmp,0,15000,40,18.414669,400.308503
blas_like_openmp,0,15000,1,120.220559,120.203631
blas_like_openmp,0,15000,2,62.265837,122.227295
blas_like_openmp,0,15000,3,41.820697,121.660121
blas_like_openmp,0,15000,4,33.060934,120.962487
blas_like_openmp,0,15000,5,25.124146,122.167460
blas_like_openmp,0,15000,6,21.784665,123.606411
blas_like_openmp,0,15000,7,20.835837,122.948640
blas_like_openmp,0,15000,8,17.571669,126.514055
blas_like_openmp,0,15000,9,17.971000,132.484368
blas_like_openmp,0,15000,10,17.837691,141.187962
blas_like_openmp,0,15000,11,18.558887,144.999179
blas_like_openmp,0,15000,12,19.639894,155.062201
blas_like_openmp,0,15000,13,18.867839,163.106605
blas_like_openmp,0,15000,14,20.573701,174.589203
blas_like_openmp,0,15000,15,16.978663,193.757719
blas_like_openmp,0,15000,16,17.007800,195.580748
blas_like_openmp,0,15000,17,16.862502,196.498618
blas_like_openmp,0,15000,18,16.962402,204.316244
blas_like_openmp,0,15000,19,18.317223,236.476296
blas_like_openmp,0,15000,20,17.781135,245.127640
