executable,returncode,n,threads,schedule,real_time_seconds,cpu_time_seconds
blas_like_openmp,0,15000,36,2,18.922592,392.574022
blas_like_openmp,0,15000,36,3,18.826223,392.416319
blas_like_openmp,0,15000,36,4,18.024156,391.655324
blas_like_openmp,0,15000,40,1,18.769330,401.063856
blas_like_openmp,0,15000,40,2,18.255900,394.107744
blas_like_openmp,0,15000,40,3,18.112554,397.605626
blas_like_openmp,0,15000,40,4,18.151089,387.434591
blas_like_openmp,0,15000,4,1,33.938375,121.228927
blas_like_openmp,0,15000,4,2,32.627850,122.457721
blas_like_openmp,0,15000,4,3,32.529198,119.771161
blas_like_openmp,0,15000,4,4,32.371157,119.162468
blas_like_openmp,0,15000,8,1,17.109554,124.235812
blas_like_openmp,0,15000,8,2,16.566448,124.100433
blas_like_openmp,0,15000,8,3,16.985984,125.287825
blas_like_openmp,0,15000,8,4,17.445820,129.142067
blas_like_openmp,0,15000,12,1,18.689275,153.534403
blas_like_openmp,0,15000,12,2,15.448693,171.408291
blas_like_openmp,0,15000,12,3,15.640538,170.458607
blas_like_openmp,0,15000,12,4,15.753801,166.004084
blas_like_openmp,0,15000,16,1,17.258751,198.385930
blas_like_openmp,0,15000,16,2,15.848760,225.199036
blas_like_openmp,0,15000,16,3,15.445700,219.826083
blas_like_openmp,0,15000,16,4,15.572926,222.094550
blas_like_openmp,0,15000,20,1,17.575742,243.525312
blas_like_openmp,0,15000,20,2,15.962281,278.717806
blas_like_openmp,0,15000,20,3,15.749676,281.760023
blas_like_openmp,0,15000,20,4,17.541873,295.069162
blas_like_openmp,0,15000,24,1,18.183621,321.473253
blas_like_openmp,0,15000,24,2,18.611137,358.073765
blas_like_openmp,0,15000,24,3,17.415592,355.002374
blas_like_openmp,0,15000,24,4,18.975582,367.292968
blas_like_openmp,0,15000,28,1,19.764298,385.084247
blas_like_openmp,0,15000,28,2,19.084259,398.230377
blas_like_openmp,0,15000,28,3,18.961963,389.056598
blas_like_openmp,0,15000,28,4,19.973268,395.530852
blas_like_openmp,0,15000,32,1,18.469582,381.483027
blas_like_openmp,0,15000,32,2,18.206811,379.969777
blas_like_openmp,0,15000,32,3,18.206844,387.820997
blas_like_openmp,0,15000,32,4,18.881239,391.433983
blas_like_openmp,0,15000,36,1,18.622824,393.070373
blas_like_openmp,0,15000,36,2,18.526656,386.825256
blas_like_openmp,0,15000,36,3,18.558951,395.034172
blas_like_openmp,0,15000,36,4,18.431610,400.432180
blas_like_openmp,0,15000,40,1,18.866450,400.794431
blas_like_openmp,0,15000,40,2,18.103708,386.458215
blas_like_openmp,0,15000,40,3,18.905416,410.760299
blas_like_openmp,0,15000,40,4,18.263235,391.145812
blas_like_openmp,0,15000,1,1,119.123357,119.109376
blas_like_openmp,0,15000,1,2,119.202787,119.184507
blas_like_openmp,0,15000,1,3,119.701771,119.682710
blas_like_openmp,0,15000,1,4,119.716853,119.704346
