executable,returncode,n,threads,real_time_seconds,cpu_time_seconds
mkl_parallel,0,15000,7,15.691428,109.684129
mkl_parallel,0,15000,8,13.709343,109.460922
mkl_parallel,0,15000,9,20.154985,181.130997
mkl_parallel,0,15000,10,14.018528,139.919737
mkl_parallel,0,15000,11,22.325790,245.268192
mkl_parallel,0,15000,12,14.074496,168.398949
mkl_parallel,0,15000,13,20.428488,265.209634
mkl_parallel,0,15000,14,12.799640,178.759982
mkl_parallel,0,15000,15,17.969728,269.084565
mkl_parallel,0,15000,16,11.759643,187.659606
mkl_parallel,0,15000,17,13.675744,218.310644
mkl_parallel,0,15000,18,12.318940,196.651736
mkl_parallel,0,15000,19,12.923824,206.338006
mkl_parallel,0,15000,20,13.470170,214.673948
mkl_parallel,0,15000,21,12.828754,204.806166
mkl_parallel,0,15000,22,14.747389,235.452129
mkl_parallel,0,15000,23,12.525305,199.878909
mkl_parallel,0,15000,24,13.025498,207.515221
mkl_parallel,0,15000,25,12.977488,207.198924
mkl_parallel,0,15000,26,12.966328,206.993971
mkl_parallel,0,15000,27,13.753715,219.362164
mkl_parallel,0,15000,28,12.872402,205.437865
mkl_parallel,0,15000,29,14.000199,223.481493
mkl_parallel,0,15000,30,13.334439,212.829406
mkl_parallel,0,15000,31,13.395415,213.861626
mkl_parallel,0,15000,32,13.330316,212.767161
mkl_parallel,0,15000,33,12.864484,205.360912
mkl_parallel,0,15000,34,12.377126,197.233852
mkl_parallel,0,15000,35,13.004504,207.541591
mkl_parallel,0,15000,36,12.211137,194.931042
mkl_parallel,0,15000,37,12.287143,196.109255
mkl_parallel,0,15000,38,13.442069,214.633893
mkl_parallel,0,15000,39,13.553568,216.361154
mkl_parallel,0,15000,40,12.069787,192.586112
mkl_parallel,0,15000,1,108.001288,107.972950
mkl_parallel,0,15000,2,54.265066,108.476620
mkl_parallel,0,15000,3,36.080086,108.164368
mkl_parallel,0,15000,4,27.558377,110.125041
mkl_parallel,0,15000,5,22.258134,111.169438
mkl_parallel,0,15000,6,18.224753,109.188157
mkl_parallel,0,15000,7,17.500856,122.317876
mkl_parallel,0,15000,8,13.935078,111.273273
mkl_parallel,0,15000,9,19.858723,178.484857
mkl_parallel,0,15000,10,14.228260,142.011513
mkl_parallel,0,15000,11,22.318530,245.168549
mkl_parallel,0,15000,12,14.219161,170.302453
mkl_parallel,0,15000,13,20.693646,268.636888
mkl_parallel,0,15000,14,12.002683,167.651192
mkl_parallel,0,15000,15,17.965464,269.030092
mkl_parallel,0,15000,16,13.190937,210.592496
mkl_parallel,0,15000,17,12.540309,200.207638
mkl_parallel,0,15000,18,11.938128,190.514602
mkl_parallel,0,15000,19,12.271223,195.753955
mkl_parallel,0,15000,20,11.939422,190.584464
mkl_parallel,0,15000,21,11.585200,184.914935
mkl_parallel,0,15000,22,13.188254,210.558348
mkl_parallel,0,15000,23,12.959037,206.841465
mkl_parallel,0,15000,24,12.562981,200.506706
mkl_parallel,0,15000,25,12.190480,194.231529
mkl_parallel,0,15000,26,11.760736,187.715279
mkl_parallel,0,15000,27,13.249442,211.357987
mkl_parallel,0,15000,28,14.708409,234.876656
mkl_parallel,0,15000,29,12.687087,202.494489
mkl_parallel,0,15000,30,14.073098,224.648929
mkl_parallel,0,15000,31,11.964175,190.942442
mkl_parallel,0,15000,32,13.608708,217.291292
mkl_parallel,0,15000,33,12.275119,195.927417
mkl_parallel,0,15000,34,12.907777,206.073377
mkl_parallel,0,15000,35,12.246869,195.402173
mkl_parallel,0,15000,36,11.998630,191.460229
mkl_parallel,0,15000,37,14.009466,223.522490
mkl_parallel,0,15000,38,11.652166,185.975233
mkl_parallel,0,15000,39,12.318245,196.588465
mkl_parallel,0,15000,40,11.962237,190.919928
