executable,returncode,n,real_time_seconds,cpu_time_seconds,gflops
cuda_2_16,0,15000,36.969093,36.801157,182.58
cuda_2_16,0,15000,39.715375,39.405854,169.96
cuda_2_16,0,15000,40.752002,40.559578,165.64
cuda_2_16,0,15000,40.367370,40.141745,167.21
cuda_2_16,0,15000,40.493338,40.316152,166.69
