executable,returncode,n,real_time_seconds,cpu_time_seconds,gflops
cuda_2_16,0,15000,34.239224,34.118736,197.14
cuda_2_16,0,15000,35.232345,35.061962,191.59
cuda_2_16,0,15000,36.069348,35.826944,187.14
cuda_2_16,0,15000,36.769534,36.538288,183.58
cuda_2_16,0,15000,37.186380,37.024711,181.52
