executable,n,real_time_seconds,cpu_time_seconds
gcc_1,256,0.007226,0.007215
gcc_1,512,0.060783,0.060748
gcc_1,1024,0.460694,0.460542
gcc_1,2048,5.632755,5.631057
gcc_1,4096,39.840059,39.832549
gcc_1,5000,72.773246,72.760930
gcc_1,8192,320.258020,320.212419
gcc_1,10000,573.000037,572.926098
icc_1,256,0.005741,0.005713
icc_1,512,0.043142,0.043127
icc_1,1024,0.327295,0.327241
icc_1,2048,3.736034,3.735094
icc_1,4096,35.437260,35.432725
icc_1,5000,69.403447,69.394715
icc_1,8192,289.583700,289.544721
icc_1,10000,525.154657,525.084066
icx_1,256,0.009462,0.009440
icx_1,512,0.059220,0.059160
icx_1,1024,0.452022,0.451940
icx_1,2048,4.501776,4.500833
icx_1,4096,39.875537,39.869613
icx_1,5000,71.601689,71.590736
icx_1,8192,316.251806,316.209400
icx_1,10000,573.308063,573.229010
