executable,n,real_time_seconds,cpu_time_seconds
gcc_2,256,0.007785,0.007696
gcc_2,512,0.059600,0.059573
gcc_2,1024,0.371991,0.371922
gcc_2,2048,4.198826,4.197854
gcc_2,4096,38.711251,38.704399
gcc_2,5000,71.170077,71.158328
gcc_2,8192,309.866830,309.836328
gcc_2,10000,582.003800,581.932060
icc_2,256,0.003229,0.003222
icc_2,512,0.030697,0.030645
icc_2,1024,0.176616,0.176564
icc_2,2048,2.523691,2.523145
icc_2,4096,24.965697,24.961900
icc_2,5000,48.721290,48.714192
icc_2,8192,216.558104,216.525152
icc_2,10000,401.861443,401.805753
icx_2,256,0.004529,0.004528
icx_2,512,0.032221,0.032211
icx_2,1024,0.232884,0.232520
icx_2,2048,2.922406,2.921766
icx_2,4096,27.827738,27.823962
icx_2,5000,51.771359,51.763954
icx_2,8192,236.322597,236.282123
icx_2,10000,430.903249,430.830186
