executable,n,real_time_seconds,cpu_time_seconds
gcc_3,256,0.003399,0.003391
gcc_3,512,0.024863,0.024840
gcc_3,1024,0.193249,0.193205
gcc_3,2048,2.872975,2.872289
gcc_3,4096,27.294885,27.289120
gcc_3,5000,51.576874,51.568077
gcc_3,8192,224.179115,224.146797
gcc_3,10000,410.950086,410.887451
icc_3,256,0.003237,0.003230
icc_3,512,0.025880,0.025861
icc_3,1024,0.161190,0.161149
icc_3,2048,1.923570,1.923340
icc_3,4096,16.282074,16.280393
icc_3,5000,18.240036,18.238150
icc_3,8192,129.811485,129.796370
icc_3,10000,196.361740,196.338756
icx_3,256,0.004927,0.004919
icx_3,512,0.036231,0.036200
icx_3,1024,0.264406,0.264340
icx_3,2048,3.086981,3.086253
icx_3,4096,28.680713,28.676291
icx_3,5000,52.967091,52.957952
icx_3,8192,234.821750,234.784416
icx_3,10000,427.196775,427.127164
